name	description	organism	scientificName	sourceName	taxId	orderKey
aptMan1	Jun. 2015 (MPI-EVA AptMant0/aptMan1)	Brown kiwi	Apteryx australis	Max-Plank Institute for Evolutionary Anthropology AptMant0	202946	2715
melUnd1	Sep. 2011 (WUSTL v6.3/melUnd1)	Budgerigar	Melopsittacus undulatus	WUSTL Melopsittacus undulatus Budgerigar Version 6.3 (GCA_000238935.1)	13146	2905
otoGar3	Mar. 2011 (Broad/otoGar3)	Bushbaby	Otolemur garnettii	Broad Institute (GCA_000181295.3)	30611	2940
caePb2	Feb. 2008 (WUGSC 6.0.1/caePb2)	C. brenneri	Caenorhabditis brenneri	Washington University School of Medicine GSC Caenorhabditis brenneri (PB2801) 6.0.1	135651	3011
caePb1	Jan. 2007 (WUGSC 4.0/caePb1)	C. brenneri	Caenorhabditis brenneri	Washington University School of Medicine GSC Caenorhabditis n. sp. PB2801	135651	3012
cb3	Jan. 2007 (WUGSC 1.0/cb3)	C. briggsae	Caenorhabditis briggsae	Washington University School of Medicine GSC and Sanger Institute cb3	6238	3016
cb1	July 2002 (WormBase cb25.agp8/cb1)	C. briggsae	Caenorhabditis briggsae	WormBase v. cb25.agp8	6238	3018
ce11	Feb. 2013 (WBcel235/ce11)	C. elegans	Caenorhabditis elegans	C. elegans Sequencing Consortium WBcel235 (GCA_000002985.3)	6239	3024
ce10	Oct. 2010 (WS220/ce10)	C. elegans	Caenorhabditis elegans	Washington University School of Medicine GSC and Sanger Institute WS220	6239	3025
ce6	May 2008 (WS190/ce6)	C. elegans	Caenorhabditis elegans	Washington University School of Medicine GSC and Sanger Institute WS190	6239	3029
ce4	Jan. 2007 (WS170/ce4)	C. elegans	Caenorhabditis elegans	Washington University School of Medicine GSC and Sanger Institute WS170	6239	3031
ce2	Mar. 2004 (WS120/ce2)	C. elegans	Caenorhabditis elegans	WormBase v. WS120	6239	3033
ci3	Apr. 2011 (Kyoto KH/ci3)	C. intestinalis	Ciona intestinalis	Kyoto KH	7719	3044
ci2	Mar. 2005 (JGI 2.1/ci2)	C. intestinalis	Ciona intestinalis	JGI v2.0	7719	3045
ci1	Dec. 2002 (JGI 1.0/ci1)	C. intestinalis	Ciona intestinalis	JGI v1.0	7719	3046
caeJap1	Mar. 2008 (WUGSC 3.0.2/caeJap1)	C. japonica	Caenorhabditis japonica	Washington University School of Medicine GSC C. remanei 3.0.2	281687	3058
caeRem3	May 2007 (WUGSC 15.0.1/caeRem3)	C. remanei	Caenorhabditis remanei	Washington University School of Medicine GSC C. remanei 15.0.1	31234	3066
caeRem2	Mar. 2006 (WUGSC 1.0/caeRem2)	C. remanei	Caenorhabditis remanei	Washington University School of Medicine GSC C. remanei 1.0	31234	3067
felCat9	Nov. 2017 (Felis_catus_9.0/felCat9)	Cat	Felis catus	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	9685	3239
felCat8	Nov. 2014 (ICGSC Felis_catus_8.0/felCat8)	Cat	Felis catus	International Cat Genome Sequencing Consortium	9685	3240
felCat5	Sep. 2011 (ICGSC Felis_catus 6.2/felCat5)	Cat	Felis catus	International Cat Genome Sequencing Consortium Felis_catus-6.2 (NCBI project 16726, accession AANG00000000.2, GCA_000181335.2)	9685	3241
felCat4	Dec. 2008 (NHGRI/GTB V17e/felCat4)	Cat	Felis catus	NHGRI/Genome Technology Branch (NCBI project 10703, accession ACBE0100000)	9685	3242
felCat3	Mar. 2006 (Broad/felCat3)	Cat	Felis catus	Broad Release 3	9685	3243
